num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
3,3,t464,9,10,0,3.5999999999999996,3.5999999999999996,0.8900000000000001
3,3,t196,7,13,-1,6.0,5.0,1.85
3,3,t77,13,0,-1,4.8,3.8,1.014
3,3,t473,14,7,-1,4.2,3.2,1.302
3,3,t538,14,17,-1,8.4,7.4,2.402
3,3,t909,1,14,0,4.5,4.5,1.3760000000000001
3,3,t1421,10,1,-1,3.0,2.0,0.9420000000000001
3,3,t1475,0,13,-1,4.2,3.2,0.9900000000000001
3,3,t770,5,19,0,3.3,3.3,0.806
3,3,t1163,19,10,0,4.5,4.5,1.3920000000000001
3,3,t197,7,6,-1,3.0,2.0,0.8260000000000001
3,3,t11,13,14,-1,7.8,6.8,2.056
3,3,t69,13,17,0,5.3999999999999995,5.3999999999999995,1.6079999999999999
3,3,t1339,8,5,0,6.0,6.0,1.64
3,3,t332,2,15,0,2.4,2.4,0.602
3,3,t1503,0,19,-1,5.7,4.7,1.9800000000000002
3,3,t215,7,15,-1,3.3,2.3,0.756
3,3,t1134,19,7,0,3.3,3.3,1.074
3,3,t1169,19,6,-1,3.5999999999999996,2.5999999999999996,0.968
3,3,t1197,19,17,-1,7.5,6.5,2.474
3,3,t497,14,19,-1,3.0,2.0,0.742
3,3,t148,6,17,-1,7.199999999999999,6.199999999999999,1.6840000000000002
3,3,t126,6,9,-1,4.2,3.2,0.952
3,3,t753,5,14,-1,3.3,2.3,0.894
3,3,t43,13,7,1,6.3,7.3,1.862
3,3,t564,11,5,0,3.5999999999999996,3.5999999999999996,1.129
3,3,t574,11,19,0,2.6999999999999997,2.6999999999999997,0.984
3,3,t1491,0,4,0,5.1,5.1,1.318
3,3,t502,14,10,-1,5.3999999999999995,4.3999999999999995,1.6320000000000001
3,3,t834,15,3,-1,5.3999999999999995,4.3999999999999995,1.412
3,3,t499,14,17,-1,8.4,7.4,2.402
3,3,t1203,19,0,-1,6.0,5.0,2.074
3,3,t70,13,17,0,5.3999999999999995,5.3999999999999995,1.6079999999999999
3,3,t1489,0,3,-1,3.5999999999999996,2.5999999999999996,0.8420000000000001
3,3,t815,5,10,0,3.3,3.3,0.828
3,3,t1414,10,4,-1,6.0,5.0,2.206
3,3,t1406,10,2,-1,5.1,4.1,1.6980000000000002
3,3,t1191,19,1,-1,3.9,2.9,1.528
3,3,t57,13,5,1,6.0,7.0,1.6239999999999999
3,3,t76,13,0,-1,4.8,3.8,1.014
3,3,t565,11,5,0,3.5999999999999996,3.5999999999999996,1.129
3,3,t642,3,5,1,5.7,6.7,1.4800000000000002
3,3,t793,5,14,-1,3.3,2.3,0.894
3,3,t676,4,14,0,3.0,3.0,0.8039999999999999
3,3,t1270,17,16,-1,6.3,5.3,1.7488000000000001
